refinery,date,series,value
Pemex Olmeca / Dos Bocas (MX),2016-08-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2017-04-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2018-05-01,firms_detections_monthly,5.0
Pemex Olmeca / Dos Bocas (MX),2020-02-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2021-03-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2023-05-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2023-07-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2023-08-01,firms_detections_monthly,2.0
Pemex Olmeca / Dos Bocas (MX),2023-09-01,firms_detections_monthly,2.0
Pemex Olmeca / Dos Bocas (MX),2023-10-01,firms_detections_monthly,1.0
Pemex Olmeca / Dos Bocas (MX),2023-11-01,firms_detections_monthly,2.0
Pemex Olmeca / Dos Bocas (MX),2023-12-01,firms_detections_monthly,26.0
Pemex Olmeca / Dos Bocas (MX),2024-01-01,firms_detections_monthly,42.0
Pemex Olmeca / Dos Bocas (MX),2024-02-01,firms_detections_monthly,76.0
Pemex Olmeca / Dos Bocas (MX),2024-03-01,firms_detections_monthly,64.0
